"Id";"Bid";"Title";"Author";"LB";"Year";"Consultation";"General_category";"Keywords";"Typology";"Periods"
26752;"RMS2159033";"Le carte monselicensi del Monastero di S. Zaccaria di Venezia (1183-1256";"a cura di Gionata Tasini";True;2009;True;"history";"churches";"primary";"renaissance"
9242;"SBL0009635";"The decline of the Venetian nobility as a ruling class";"Davis, James Cushman";True;1962;False;"history";"elites; government";"";"renaissance; xvii; xviii"
1349;"SBL0084141";"Banche pubbliche e problemi monetari a Venezia nei secoli 16. e 17";"Balestrieri, Lucio";True;1969;False;"history";"economics; finance";"";"renaissance; xvii"
14194;"SBL0103568";"L'influsso linguistico greco a Venezia";"Cortelazzo, Manlio";True;1970;True;"history";"literature";"";"middle ages; renaissance"
22963;"SBL0188991";"Crisis and change in the Venetian economy in the sixteenth and seventeenth centuries";"edited with an introduction by Brian Pullan";True;1968;False;"history";"economics";"";"renaissance; xvii"
15725;"SBL0191721";"Venice and history : the collected papers of Frederic C. Lane";"Lane, Frederic Chapin";True;1966;False;"history";"";"";""
25796;"SBL0229217";"Rich and poor in Renaissance Venice : the social institutions of a catholic state, to 1620";"Pullan, Brian";True;1971;False;"history";"social";"";"renaissance"
30504;"SBL0253691";"Mestre, Marghera : Abazia S. Ilario";"Gallo, Luigi";True;1964;False;"history";"churches";"";""
9228;"SBL0285889";"La basilica dei santi Giovanni e Paolo in Venezia";"Zava Boccazzi, Franca";True;1965;False;"architecture";"churches";"";""
4298;"SBL0292433";"Venezia 1848-49 : la rivoluzione e la difesa";"Bernardello, Adolfo";True;1979;False;"history";"1848";"";"xix"
874;"SBL0297828";"Lorenzo Giustiniani : due imprese pittoriche fra Sei e Settecento a Venezia";"Pilo, Giuseppe Maria";True;1981;False;"arts";"painting; individuals; crafts";"";"xvii; xviii"
36621;"SBL0311977";"Venezia : cultura e societa";"Logan, Oliver";True;1980;False;"history";"social; culture";"";"renaissance; xvii; xviii"
21530;"SBL0315480";"Storia di Venezia";"Norwich, John Julius";True;1982;False;"history";"";"";"renaissance; xvii; xviii"
14722;"SBL0319720";"Per una storia dell'impero latino di Costantinopoli (1204-1261";"Carile, Antonio";True;1978;False;"history";"empire";"";"middle ages"
7623;"SBL0372867";"Il Palazzo Dolfin Manin a Rialto : storia di un'antica dimora veneziana";"Paolillo, Domenico Roberto";True;1970;False;"architecture";"palaces";"";""
30201;"SBL0376903";"Arte e vita ebraica a Venezia : 1516-1797";"Sandri, Maria Grazia";True;1971;False;"arts";"jews";"";"renaissance; xvii; xviii"
24098;"SBL0435198";"Palazzo Contarini a San Beneto";"Muraro, Michelangelo";True;1970;False;"architecture";"palaces";"";""
31999;"SBL0467008";"Venezia scomparsa";"Alvise Zorzi";True;1972;False;"history";"";"";""
31341;"SBL0469864";"I cavalli di Venezia";"Vittoria, Eugenio";True;1972;False;"arts";"monuments";"";""
35374;"SBL0484841";"Il vetro di Murano dalle origini ad oggi";"Gasparetto, Astone";True;1958;False;"arts";"crafts";"";""
24796;"SBL0540981";"Le pitture di Paolo Veronese nella Chiesa di S. Sebastiano in Venezia";"Pignatti, Terisio";True;1966;False;"arts";"painting; churches";"";""
31918;"SBL0588203";"Christ in the Council Hall : studies in the religious iconography of the Venetian Republic";"Sinding-Larsen, Staale";True;1974;False;"arts";"painting; religion";"";""
36507;"SBL0606496";"Palazzo Labia a Venezia";"Pignatti, Terisio";True;1982;False;"architecture";"palaces";"";""
2776;"SBL0607898";"La Chiesa di Santa Caterina e l'isola di Mazzorbo";"Comastri, Enrico";True;1983;False;"architecture";"churches";"";""
37497;"SBL0612718";"Pietre e legni dell'arsenale di Venezia";"Pizzarello, Ugo";True;1983;False;"architecture";"industry";"";""
19522;"SBL0612734";"Tre palazzi veneziani della Regione Veneto : Balbi, Flangini-Morosini, Molin";"Bassi, Elena";True;1982;False;"architecture";"palaces";"";""
10179;"SBL0630758";"La pesca nella laguna di Venezia : antologia storica di testi sulla pesca nella laguna, sulla sua legislazione, sul popolo, la lingua e il lavoro dei pescatori, sui pesci e sulla cucina";"";True;1981;False;"history";"maritime; lagoon";"";""
22344;"SBL0636208";"Aspetti e momenti della diplomazia veneziana : mostra documentaria, 26 giugno-26 settembre 1982";"";True;1982;True;"history";"politics";"catalogue";"middle ages; renaissance; xvii; xviii"
36010;"SBL0698647";"Das griechische Druck- und Verlagshaus Glikis in Venedig, 1670-1854 : Das griechische Buch zur Zeit der Türkenherrschaft";"Beloudes, Giorgos";True;1974;False;"history";"churches";"";"xvii; xviii; xix"
21979;"SGE0024421";"Venezia medievale nella modernità : storici e critici della cultura europea fra Otto e Novecento";"Rando, Daniela";True;2014;False;"history";"myth";"";"xix; recent"
6595;"TO00011658";"Dal museo alla citta : cultura e societa nella Venezia del Settecento";"";True;1987;False;"history";"social; culture";"";"xviii"
26057;"TO00053625";"Economic and social history of Medieval Europe";"Pirenne, Henri";True;1937;False;"history";"economics; social";"";"middle ages"
6929;"TO00106920";"Monasteri benedettini nella laguna veneziana : catalogo di mostra";"a cura di Gabriele Mazzucco";True;1983;False;"architecture";"churches";"catalogue";""
1282;"TO00311142";"Politics in renaissance Venice";"Finlay, Robert";True;1980;False;"history";"politics";"";"renaissance"
13668;"TO00324714";"La società veneta alla fine del Settecento : ricerche storiche";"Berengo, Marino";True;1956;False;"history";"social";"";"xviii"
17762;"TO00342250";"Il portale maggiore di San Marco a Venezia : aspetti iconografici e stilistici dei rilievi duecenteschi";"Tigler, Guido";True;1995;False;"arts";"churches";"";""
28030;"TO00344386";"The myth of Venice and Dutch republican thought in the seventeenth century";"Haitsma Mulier, Eco Oste Gaspard";True;1980;False;"history";"myth";"";"xvii"
19288;"TO00746027";"The Venetian upper clergy in the 16th and early 17th centuries : a study in religious culture";"Logan, Oliver";True;1996;True;"history";"religion; government";"";"renaissance; xvii"
36894;"TO00763215";"Renaissance book collecting : Jean Grolier and Diego Hurtado de Mendoza, their books and bindings";"Hobson, Anthony";True;1999;False;"history";"books; collecting";"";"renaissance"
3089;"TO00814557";"Testi storici veneziani (11.-13. secolo";"edizione e traduzione a cura di Luigi Andrea Berto";True;1999;True;"history";"literature";"primary";"middle ages"
14097;"TO00919008";"Contro le intemperie delle stagioni e contro le tentazioni del male : la nascita degli asili notturni nella Venezia di fine '800";"Nordio, Andrea";True;2000;False;"history";"social";"";"xix"
36511;"TO00920774";"Fedeli sudditi e buoni cristiani : la rivoluzione scolastica di fine Settecento tra la Lombardia austriaca e la Serenissima";"Gecchele, Mario";True;2000;False;"history";"culture";"";"xviii"
7700;"TO00942842";"Venise des voyageurs romantiques francais";"Misan-Montefiore, Jacques";True;2000;False;"history";"social";"";"xviii; xix"
30182;"TO01202555";"Voyages : 1557-1565";"Magno, Alessandro";True;2002;True;"history";"literature";"primary";"renaissance"
7674;"TO01238609";"Women and men in early modern Venice : reassessing history";"Datta, Satya";True;2003;False;"history";"gender";"";"renaissance; xvii; xviii"
8449;"TO01374721";"Women, sex and marriage in early modern Venice";"Hacke, Daniela";True;2004;False;"history";"gender; social";"";"renaissance; xvii; xviii"
1424;"TO01458757";"The siege of Venice";"Keates, Jonathan";True;2005;False;"history";"1848";"";"xix"
