"Source";"Target";"Type";"Year"
13897;4351;"Directed";1988
13897;774;"Directed";1988
13897;18221;"Directed";1988
13897;24279;"Directed";1988
13897;10338;"Directed";1988
13897;23482;"Directed";1988
13897;7627;"Directed";1988
13897;8147;"Directed";1988
13897;37459;"Directed";1988
13897;12794;"Directed";1988
13897;16573;"Directed";1988
13897;7632;"Directed";1988
13897;31886;"Directed";1988
23658;3593;"Directed";1991
23658;290;"Directed";1991
23658;9338;"Directed";1991
23658;32566;"Directed";1991
23658;4445;"Directed";1991
23658;35245;"Directed";1991
23658;34045;"Directed";1991
23658;10496;"Directed";1991
23658;10497;"Directed";1991
23658;14349;"Directed";1991
23658;34051;"Directed";1991
23658;34717;"Directed";1991
23658;34943;"Directed";1991
23658;7669;"Directed";1991
23658;19255;"Directed";1991
23658;36584;"Directed";1991
23658;10505;"Directed";1991
23658;15392;"Directed";1991
23658;17638;"Directed";1991
23658;31266;"Directed";1991
23658;15865;"Directed";1991
23658;13449;"Directed";1991
23658;25472;"Directed";1991
23658;16756;"Directed";1991
23658;36037;"Directed";1991
23658;37360;"Directed";1991
23658;18834;"Directed";1991
23658;34373;"Directed";1991
23658;217;"Directed";1991
23658;22321;"Directed";1991
23658;17284;"Directed";1991
23658;13466;"Directed";1991
23658;9950;"Directed";1991
23658;34671;"Directed";1991
23658;20820;"Directed";1991
23658;30592;"Directed";1991
23658;11433;"Directed";1991
23658;11056;"Directed";1991
23658;22334;"Directed";1991
23658;26209;"Directed";1991
23658;16779;"Directed";1991
23658;17898;"Directed";1991
23658;7329;"Directed";1991
23658;5596;"Directed";1991
23658;22116;"Directed";1991
23658;14997;"Directed";1991
23658;21956;"Directed";1991
23658;11443;"Directed";1991
23658;15598;"Directed";1991
23658;28248;"Directed";1991
23658;27669;"Directed";1991
23658;10255;"Directed";1991
23658;23259;"Directed";1991
23658;12591;"Directed";1991
23658;30003;"Directed";1991
23658;36783;"Directed";1991
23658;35587;"Directed";1991
23658;17399;"Directed";1991
23658;35899;"Directed";1991
23658;21761;"Directed";1991
23658;21769;"Directed";1991
23658;34398;"Directed";1991
23658;404;"Directed";1991
23658;14632;"Directed";1991
23658;3845;"Directed";1991
23658;29127;"Directed";1991
23658;11726;"Directed";1991
23658;9973;"Directed";1991
23658;5613;"Directed";1991
23658;10271;"Directed";1991
23658;996;"Directed";1991
23658;21485;"Directed";1991
23658;32137;"Directed";1991
23658;8525;"Directed";1991
23658;2111;"Directed";1991
23658;5722;"Directed";1991
23658;33307;"Directed";1991
23658;9228;"Directed";1991
23658;16807;"Directed";1991
23658;12346;"Directed";1991
23658;37133;"Directed";1991
23658;21495;"Directed";1991
23658;36808;"Directed";1991
23658;16221;"Directed";1991
23658;29285;"Directed";1991
23658;9126;"Directed";1991
23658;9124;"Directed";1991
23658;30539;"Directed";1991
23658;27707;"Directed";1991
23658;11749;"Directed";1991
23658;27417;"Directed";1991
23658;2910;"Directed";1991
23658;7002;"Directed";1991
23658;22986;"Directed";1991
23658;25665;"Directed";1991
23658;13475;"Directed";1991
23658;14500;"Directed";1991
23658;6482;"Directed";1991
23658;29169;"Directed";1991
23658;4198;"Directed";1991
23658;19174;"Directed";1991
23658;20946;"Directed";1991
23658;22944;"Directed";1991
23658;32695;"Directed";1991
23658;26579;"Directed";1991
23658;37109;"Directed";1991
23658;5955;"Directed";1991
23658;33870;"Directed";1991
23658;1268;"Directed";1991
23658;12389;"Directed";1991
23658;1372;"Directed";1991
23658;9741;"Directed";1991
23658;33601;"Directed";1991
