"Source";"Target";"Type";"Weight"
33207;29861;"Undirected";2
25715;5969;"Undirected";4
31105;31759;"Undirected";1
21651;18904;"Undirected";1
19522;36045;"Undirected";4
25067;5961;"Undirected";1
23700;33886;"Undirected";2
2274;37346;"Undirected";1
20122;11675;"Undirected";6
15565;8339;"Undirected";3
1979;29889;"Undirected";5
20477;1680;"Undirected";5
15999;34819;"Undirected";3
28087;20477;"Undirected";7
4584;17925;"Undirected";1
29052;25641;"Undirected";1
13465;6820;"Undirected";5
36776;1258;"Undirected";2
5610;36463;"Undirected";2
13715;22694;"Undirected";2
23492;25796;"Undirected";1
32188;5616;"Undirected";3
26941;1424;"Undirected";1
4965;29205;"Undirected";4
23658;4838;"Undirected";1
9242;21530;"Undirected";7
18070;25575;"Undirected";1
12288;25971;"Undirected";2
3055;35372;"Undirected";1
20122;5969;"Undirected";4
13465;13967;"Undirected";3
29279;5251;"Undirected";2
3055;13933;"Undirected";1
8783;12256;"Undirected";4
5794;2364;"Undirected";1
28740;16673;"Undirected";1
23477;11211;"Undirected";1
37520;35428;"Undirected";1
19685;3192;"Undirected";6
20294;13940;"Undirected";2
432;29332;"Undirected";1
32985;9863;"Undirected";3
28124;3512;"Undirected";5
37520;16540;"Undirected";4
23477;36124;"Undirected";1
16924;29533;"Undirected";1
21577;15475;"Undirected";6
2643;12520;"Undirected";1
14621;19419;"Undirected";2
4965;8630;"Undirected";1
36710;20427;"Undirected";3
11914;17418;"Undirected";5
5369;35745;"Undirected";4
14349;31645;"Undirected";1
10262;26895;"Undirected";2
1800;30798;"Undirected";2
929;12988;"Undirected";1
34795;25193;"Undirected";4
26671;32493;"Undirected";1
614;23163;"Undirected";3
17596;29718;"Undirected";6
25193;33900;"Undirected";3
18003;11638;"Undirected";1
16012;7523;"Undirected";2
31924;9825;"Undirected";3
36212;24649;"Undirected";3
37064;9603;"Undirected";4
31918;32502;"Undirected";2
2274;4937;"Undirected";1
22334;9242;"Undirected";2
20668;25971;"Undirected";3
17621;10904;"Undirected";1
1424;19760;"Undirected";1
14194;30138;"Undirected";1
22303;26754;"Undirected";1
30182;10904;"Undirected";1
33482;20343;"Undirected";1
32896;5961;"Undirected";1
23113;11821;"Undirected";1
19522;6929;"Undirected";1
1498;25575;"Undirected";3
18759;31869;"Undirected";1
27419;11490;"Undirected";6
24304;36785;"Undirected";2
32896;2776;"Undirected";2
37142;9242;"Undirected";2
26194;35794;"Undirected";1
6041;18759;"Undirected";1
7984;2922;"Undirected";1
29920;32026;"Undirected";4
4576;22694;"Undirected";1
19219;14097;"Undirected";1
11473;28030;"Undirected";1
23297;32562;"Undirected";3
12825;20294;"Undirected";1
27159;34695;"Undirected";1
8215;34868;"Undirected";2
27103;7730;"Undirected";2
30528;5030;"Undirected";5
17212;5504;"Undirected";1
15475;28978;"Undirected";7
36776;36010;"Undirected";3
614;33900;"Undirected";5
15565;34868;"Undirected";2
29539;10528;"Undirected";2
9093;16673;"Undirected";1
19219;14112;"Undirected";1
7078;7523;"Undirected";1
9863;22606;"Undirected";1
31050;30057;"Undirected";1
10179;29010;"Undirected";1
21849;22445;"Undirected";3
29658;36045;"Undirected";2
10528;29463;"Undirected";1
35826;644;"Undirected";5
13818;29502;"Undirected";3
14349;35826;"Undirected";6
21979;24806;"Undirected";1
14887;9876;"Undirected";3
3499;11738;"Undirected";1
23477;12520;"Undirected";29
29279;31918;"Undirected";1
13947;31841;"Undirected";2
32188;24676;"Undirected";1
30616;15850;"Undirected";1
15640;34695;"Undirected";6
14349;26895;"Undirected";2
23700;36353;"Undirected";1
27419;12922;"Undirected";2
5697;30697;"Undirected";1
34695;29010;"Undirected";10
2474;19419;"Undirected";2
25796;22445;"Undirected";1
6412;21463;"Undirected";2
13424;35643;"Undirected";1
8458;9497;"Undirected";1
26688;32502;"Undirected";1
11559;36344;"Undirected";2
6326;35146;"Undirected";1
1800;29350;"Undirected";9
30057;28293;"Undirected";3
26671;21577;"Undirected";1
32964;12520;"Undirected";9
23658;21735;"Undirected";4
9130;7173;"Undirected";4
12988;24860;"Undirected";3
7078;25597;"Undirected";5
17925;9863;"Undirected";1
22334;7991;"Undirected";2
30229;644;"Undirected";3
32896;37312;"Undirected";1
32355;32585;"Undirected";3
31924;9603;"Undirected";1
20266;267;"Undirected";2
31737;24676;"Undirected";1
25249;13124;"Undirected";1
31185;29964;"Undirected";1
18325;249;"Undirected";2
1258;21350;"Undirected";1
24324;20343;"Undirected";1
37368;21825;"Undirected";2
10011;16008;"Undirected";5
15565;7238;"Undirected";3
14831;5961;"Undirected";4
2274;29332;"Undirected";2
3077;33886;"Undirected";5
16673;15067;"Undirected";1
30714;30443;"Undirected";1
21979;4293;"Undirected";1
1448;5030;"Undirected";12
26754;25715;"Undirected";2
3410;11738;"Undirected";1
36163;13979;"Undirected";1
7938;24860;"Undirected";2
27012;13940;"Undirected";3
32493;6509;"Undirected";9
36710;34819;"Undirected";10
18070;29895;"Undirected";1
7078;30504;"Undirected";1
29889;22606;"Undirected";2
4576;36463;"Undirected";4
32544;1534;"Undirected";3
36710;7984;"Undirected";11
8221;24006;"Undirected";2
29946;15565;"Undirected";10
24649;11675;"Undirected";4
3421;28978;"Undirected";1
24178;13364;"Undirected";1
30697;33576;"Undirected";3
37142;26420;"Undirected";3
37324;11638;"Undirected";1
25971;12825;"Undirected";2
32493;6820;"Undirected";2
21871;6929;"Undirected";1
27419;26857;"Undirected";1
21577;35677;"Undirected";3
1571;28124;"Undirected";2
22684;20266;"Undirected";20
19219;19760;"Undirected";2
30443;37368;"Undirected";5
32502;15997;"Undirected";1
28475;7991;"Undirected";1
13715;35580;"Undirected";2
2776;5369;"Undirected";1
21857;4576;"Undirected";1
18684;4369;"Undirected";2
14176;20427;"Undirected";2
17420;26895;"Undirected";1
4965;28300;"Undirected";3
4303;37290;"Undirected";1
29423;18578;"Undirected";1
13465;9647;"Undirected";1
26857;9647;"Undirected";7
13933;13473;"Undirected";1
32985;267;"Undirected";1
31760;10528;"Undirected";5
13266;11675;"Undirected";1
36353;19522;"Undirected";1
33388;22963;"Undirected";1
6679;37346;"Undirected";2
3410;29205;"Undirected";2
21546;36212;"Undirected";1
7516;30469;"Undirected";1
20477;5734;"Undirected";1
31185;12659;"Undirected";1
28030;29010;"Undirected";1
36212;21614;"Undirected";2
32896;13668;"Undirected";1
23477;28618;"Undirected";4
21735;7991;"Undirected";1
5145;17668;"Undirected";1
29423;21530;"Undirected";3
26754;11638;"Undirected";2
25321;33247;"Undirected";2
21651;23163;"Undirected";2
690;21530;"Undirected";1
32544;37368;"Undirected";6
25641;12119;"Undirected";1
26742;34875;"Undirected";2
4965;29738;"Undirected";1
37520;21135;"Undirected";2
7674;9603;"Undirected";2
35677;13947;"Undirected";1
23113;3058;"Undirected";1
5030;1883;"Undirected";1
2077;35794;"Undirected";2
21546;14008;"Undirected";1
34057;18003;"Undirected";3
29539;31918;"Undirected";1
26140;740;"Undirected";10
32896;9736;"Undirected";2
32188;1800;"Undirected";8
25398;21825;"Undirected";1
874;20477;"Undirected";2
24860;7832;"Undirected";2
25249;37324;"Undirected";1
27832;740;"Undirected";1
25398;11179;"Undirected";2
26420;11638;"Undirected";3
14127;9736;"Undirected";2
15640;6041;"Undirected";3
30573;6103;"Undirected";1
37064;26933;"Undirected";1
14349;6929;"Undirected";5
17212;644;"Undirected";1
32188;19785;"Undirected";1
1800;36163;"Undirected";1
12659;25193;"Undirected";7
7700;34695;"Undirected";1
11980;34875;"Undirected";2
17399;24856;"Undirected";2
24007;13293;"Undirected";3
33388;21614;"Undirected";1
26420;7991;"Undirected";1
14176;36463;"Undirected";7
11473;6437;"Undirected";3
